TransactionID,CustomerID,ProductID,Quantity,UnitPrice,TransactionDate
T001,C001,P101,5,120.00,2024-01-15
T002,C001,P102,2,250.00,2024-01-20
T003,C002,P101,10,118.00,2024-01-22
T004,C002,P201,3,400.00,2024-02-01
T005,C003,P301,7,85.00,2024-02-05
T006,C003,P302,4,95.00,2024-02-10
T007,C004,P101,2,120.00,2024-02-12
T008,C004,P103,6,175.00,2024-02-15
T009,C005,P201,1,400.00,2024-02-18
T010,C005,P202,8,310.00,2024-02-20
T011,C006,P301,3,85.00,2024-03-01
T012,C006,P303,5,110.00,2024-03-05
T013,C007,P101,4,120.00,2024-03-08
T014,C007,P102,3,250.00,2024-03-10
T015,C007,P201,2,400.00,2024-03-12
T016,C008,P401,6,220.00,2024-03-15
T017,C008,P402,4,190.00,2024-03-18
T018,C009,P101,8,115.00,2024-03-20
T019,C009,P301,5,85.00,2024-03-22
T020,C010,P201,3,395.00,2024-03-25
T021,C010,P202,2,310.00,2024-03-28
T022,C010,P203,7,280.00,2024-04-01
T023,C001,P301,4,85.00,2024-04-05
T024,C002,P102,3,250.00,2024-04-08
T025,C003,P401,2,220.00,2024-04-10
T026,C011,P101,9,118.00,2024-04-12
T027,C011,P103,3,175.00,2024-04-15
T028,C012,P201,5,398.00,2024-04-18
T029,C012,P203,4,280.00,2024-04-20
T030,C013,P301,6,84.00,2024-04-22
T031,C013,P302,3,95.00,2024-04-25
T032,C014,P401,7,218.00,2024-04-28
T033,C014,P403,2,350.00,2024-05-01
T034,C015,P101,4,120.00,2024-05-05
T035,C015,P102,5,248.00,2024-05-08
T036,C015,P103,3,175.00,2024-05-10
